ReturnID,OrderID,ProductID,CustomerID,StoreID,ReturnReason,ReturnDate,RefundAmount,ReturnStatus,ProductName,Category,Return_Count,Unnamed: 0,stale_returns,stale_refund,damaged_returns,damaged_refund,total_returns,total_returns_amount
17016,12016,1031,15016,2097,Stale Product,05:03.4,650,Processed,Himalaya Face Wash 100ml,Personal Care,19,97,7,3164,0,0,7,3164
11097,6097,1021,9097,2012,Stale Product,37:03.4,2995,Processed,Patanjali Ghee 1L,Grocery,14,12,7,5165,0,0,7,5165
14024,9024,1018,12024,2012,Damaged Item,32:03.4,950,Processed,Surf Excel Matic 1kg,Grocery,24,12,7,5165,0,0,7,5165
13605,8605,1013,11605,2028,Damaged Item,40:03.4,840,Processed,Kellogg's Corn Flakes 500g,Grocery,21,28,4,1555,0,0,4,1555
13571,8571,1012,11571,2066,Damaged Item,05:03.4,900,Processed,Saffola Gold Oil 1L,Grocery,17,66,7,3908,0,0,7,3908
12132,7132,1006,10132,2024,Damaged Item,05:03.4,56,Processed,Maggi Noodles 70g,Snacks,21,24,4,630,0,0,4,630
13193,8193,1010,11193,2004,Damaged Item,18:03.4,540,Processed,Golden Apples 1kg,Fruits,18,4,7,5781,0,0,7,5781
14294,9294,1028,12294,2012,Stale Product,09:03.4,600,Processed,Catch Black Pepper 100g,Grocery,12,12,7,5165,0,0,7,5165
12249,7249,1007,10249,2026,Stale Product,40:03.4,40,Processed,Lays Classic Salted 52g,Snacks,22,26,7,2930,0,0,7,2930
15637,10637,1014,13637,2036,Stale Product,28:03.4,290,Processed,Dettol Handwash 750ml,Personal Care,13,36,7,2930,0,0,7,2930
16330,11330,1046,14330,2078,Damaged Item,02:03.4,270,Processed,Sprite 2L,Beverages,21,78,3,490,0,0,3,490
16309,11309,1034,14309,2045,Damaged Item,30:03.4,630,Processed,Lizol Floor Cleaner 1L,Grocery,23,45,5,2313,0,0,5,2313
10565,5565,1016,8565,2073,Stale Product,19:03.4,150,Processed,Nescafe Classic Coffee 100g,Beverages,21,73,7,2970,0,0,7,2970
15026,10026,1019,13026,2055,Stale Product,39:03.4,398,Processed,Dabur Honey 500g,Grocery,18,55,6,1723,0,0,6,1723
12729,7729,1041,10729,2032,Stale Product,15:03.4,1375,Processed,Nestle Everyday Milk Powder 500g,Dairy,21,32,3,1760,0,0,3,1760
10368,5368,1029,8368,2061,Damaged Item,27:03.4,770,Processed,Horlicks Classic Malt 1kg,Beverages,20,61,7,4815,0,0,7,4815
9790,4790,1030,7790,2049,Stale Product,00:03.4,525,Processed,Johnson's Baby Powder 400g,Personal Care,22,49,7,2340,0,0,7,2340
11637,6637,1045,9637,2037,Damaged Item,11:03.4,80,Processed,Parle-G Biscuits 800g,Snacks,17,37,7,1860,0,0,7,1860
11971,6971,1019,9971,2030,Stale Product,44:03.4,995,Processed,Dabur Honey 500g,Grocery,18,30,6,4292,0,0,6,4292
17421,12421,1036,15421,2020,Damaged Item,15:03.4,260,Processed,Frooti Mango Drink 1L,Beverages,28,20,5,1194,0,0,5,1194
12325,7325,1050,10325,2097,Stale Product,05:03.4,99,Processed,Dabur Red Toothpaste 200g,Personal Care,12,97,7,3164,0,0,7,3164
12392,7392,1026,10392,2030,Stale Product,50:03.4,897,Processed,Gillette Mach3 Razor,Personal Care,16,30,6,4292,0,0,6,4292
11194,6194,1049,9194,2094,Stale Product,29:03.4,240,Processed,Gillette Shaving Foam 200ml,Personal Care,21,94,4,1029,0,0,4,1029
13927,8927,1035,11927,2064,Stale Product,40:03.4,90,Processed,Sprite 2L,Beverages,16,64,8,2990,0,0,8,2990
15785,10785,1001,13785,2042,Stale Product,31:03.4,520,Processed,Amul Butter 500g,Dairy,27,42,6,2535,0,0,6,2535
15088,10088,1027,13088,2053,Stale Product,30:03.4,99,Processed,Real Mixed Fruit Juice 1L,Beverages,21,53,7,3841,0,0,7,3841
11702,6702,1025,9702,2076,Stale Product,44:03.4,225,Processed,Dove Soap 125g,Personal Care,21,76,5,1855,0,0,5,1855
11178,6178,1046,9178,2071,Stale Product,40:03.4,360,Processed,Sprite 2L,Beverages,21,71,5,2285,0,0,5,2285
17512,12512,1013,15512,2060,Stale Product,12:03.4,420,Processed,Kellogg's Corn Flakes 500g,Grocery,21,60,7,2869,0,0,7,2869
9861,4861,1042,7861,2048,Damaged Item,07:03.4,900,Processed,Kissan Mixed Fruit Jam 500g,Grocery,24,48,6,3149,0,0,6,3149
15120,10120,1000,13120,2074,Damaged Item,39:03.4,72,Processed,Amul Taaza Milk 1L,Dairy,29,74,6,1628,0,0,6,1628
11957,6957,1010,9957,2073,Damaged Item,14:03.4,720,Processed,Golden Apples 1kg,Fruits,18,73,7,2970,0,0,7,2970
12883,7883,1025,10883,2021,Stale Product,17:03.4,135,Processed,Dove Soap 125g,Personal Care,21,21,6,1647,0,0,6,1647
13431,8431,1024,11431,2030,Damaged Item,56:03.4,675,Processed,Bournvita 500g,Beverages,29,30,6,4292,0,0,6,4292
16519,11519,1013,14519,2052,Damaged Item,56:03.4,840,Processed,Kellogg's Corn Flakes 500g,Grocery,21,52,3,3525,0,0,3,3525
12646,7646,1000,10646,2097,Damaged Item,53:03.4,216,Processed,Amul Taaza Milk 1L,Dairy,29,97,7,3164,0,0,7,3164
17623,12623,1013,15623,2090,Stale Product,11:03.4,420,Processed,Kellogg's Corn Flakes 500g,Grocery,21,90,4,1091,0,0,4,1091
14473,9473,1042,12473,2004,Damaged Item,39:03.4,720,Processed,Kissan Mixed Fruit Jam 500g,Grocery,24,4,7,5781,0,0,7,5781
9961,4961,1018,7961,2091,Stale Product,48:03.4,760,Processed,Surf Excel Matic 1kg,Grocery,24,91,9,2593,0,0,9,2593
15393,10393,1047,13393,2096,Stale Product,41:03.4,1925,Processed,Head & Shoulders Shampoo 650ml,Personal Care,15,96,10,5020,0,0,10,5020
11960,6960,1002,9960,2042,Stale Product,12:03.4,120,Processed,Mother Dairy Curd 400g,Dairy,17,42,6,2535,0,0,6,2535
15917,10917,1014,13917,2002,Damaged Item,26:03.4,145,Processed,Dettol Handwash 750ml,Personal Care,13,2,5,2125,0,0,5,2125
8657,3657,1046,6657,2022,Stale Product,55:03.4,90,Processed,Sprite 2L,Beverages,21,22,7,2100,0,0,7,2100
9079,4079,1006,7079,2033,Stale Product,29:03.4,14,Processed,Maggi Noodles 70g,Snacks,21,33,5,1223,0,0,5,1223
10916,5916,1036,8916,2097,Damaged Item,38:03.4,260,Processed,Frooti Mango Drink 1L,Beverages,28,97,7,3164,0,0,7,3164
13756,8756,1021,11756,2075,Damaged Item,55:03.4,2995,Processed,Patanjali Ghee 1L,Grocery,14,75,4,833,0,0,4,833
10964,5964,1043,8964,2067,Damaged Item,34:03.4,280,Processed,Good Day Butter Cookies 600g,Snacks,18,67,2,4193,0,0,2,4193
16923,11923,1038,14923,2098,Stale Product,15:03.4,360,Processed,Coca-Cola 2L,Beverages,15,98,4,1865,0,0,4,1865
15399,10399,1012,13399,2066,Stale Product,16:03.4,720,Processed,Saffola Gold Oil 1L,Grocery,17,66,7,3908,0,0,7,3908
15982,10982,1000,13982,2084,Damaged Item,01:03.4,288,Processed,Amul Taaza Milk 1L,Dairy,29,84,3,2380,0,0,3,2380
11216,6216,1000,9216,2091,Stale Product,59:03.4,360,Processed,Amul Taaza Milk 1L,Dairy,29,91,9,2593,0,0,9,2593
14285,9285,1020,12285,2047,Stale Product,05:03.4,480,Processed,Cadbury Dairy Milk Silk 150g,Snacks,21,47,5,1740,0,0,5,1740
13037,8037,1000,11037,2034,Damaged Item,09:03.4,144,Processed,Amul Taaza Milk 1L,Dairy,29,34,4,2616,0,0,4,2616
9447,4447,1030,7447,2072,Stale Product,22:03.4,525,Processed,Johnson's Baby Powder 400g,Personal Care,22,72,4,1415,0,0,4,1415
11286,6286,1004,9286,2074,Stale Product,12:03.4,84,Processed,Tata Salt 1kg,Grocery,19,74,6,1628,0,0,6,1628
17207,12207,1032,15207,2099,Damaged Item,04:03.4,960,Processed,Whisper Ultra Pads (30 pcs),Personal Care,22,99,1,950,0,0,1,950
8197,3197,1032,6197,2009,Stale Product,30:03.4,640,Processed,Whisper Ultra Pads (30 pcs),Personal Care,22,9,5,2485,0,0,5,2485
10807,5807,1042,8807,2058,Stale Product,03:03.4,360,Processed,Kissan Mixed Fruit Jam 500g,Grocery,24,58,5,2517,0,0,5,2517
12039,7039,1016,10039,2059,Damaged Item,53:03.4,450,Processed,Nescafe Classic Coffee 100g,Beverages,21,59,5,2780,0,0,5,2780
8837,3837,1034,6837,2053,Damaged Item,11:03.4,1050,Processed,Lizol Floor Cleaner 1L,Grocery,23,53,7,3841,0,0,7,3841
8653,3653,1009,6653,2032,Damaged Item,38:03.4,35,Processed,Farm Fresh Tomatoes 500g,Vegetables,26,32,3,1760,0,0,3,1760
14604,9604,1008,12604,2028,Damaged Item,16:03.4,300,Processed,Britannia Good Day Cashew 600g,Snacks,19,28,4,1555,0,0,4,1555
13346,8346,1003,11346,2000,Stale Product,59:03.4,765,Processed,Aashirvaad Atta 5kg,Grocery,18,0,5,4235,0,0,5,4235
8243,3243,1030,6243,2005,Damaged Item,14:03.4,700,Processed,Johnson's Baby Powder 400g,Personal Care,22,5,4,3535,0,0,4,3535
16406,11406,1028,14406,2095,Damaged Item,57:03.4,600,Processed,Catch Black Pepper 100g,Grocery,12,95,4,1995,0,0,4,1995
9355,4355,1028,7355,2021,Stale Product,48:03.4,300,Processed,Catch Black Pepper 100g,Grocery,12,21,6,1647,0,0,6,1647
15582,10582,1041,13582,2029,Damaged Item,13:03.4,1375,Processed,Nestle Everyday Milk Powder 500g,Dairy,21,29,9,4345,0,0,9,4345
12140,7140,1038,10140,2069,Stale Product,11:03.4,360,Processed,Coca-Cola 2L,Beverages,15,69,4,2970,0,0,4,2970
17010,12010,1009,15010,2020,Stale Product,10:03.4,175,Processed,Farm Fresh Tomatoes 500g,Vegetables,26,20,5,1194,0,0,5,1194
10019,5019,1006,8019,2063,Stale Product,27:03.4,56,Processed,Maggi Noodles 70g,Snacks,21,63,6,1962,0,0,6,1962
14323,9323,1048,12323,2093,Damaged Item,37:03.4,110,Processed,Real Orange Juice 1L,Beverages,17,93,2,850,0,0,2,850
17586,12586,1046,15586,2012,Damaged Item,03:03.4,270,Processed,Sprite 2L,Beverages,21,12,7,5165,0,0,7,5165
16173,11173,1004,14173,2031,Damaged Item,16:03.4,84,Processed,Tata Salt 1kg,Grocery,19,31,5,1800,0,0,5,1800
12634,7634,1042,10634,2045,Damaged Item,22:03.4,540,Processed,Kissan Mixed Fruit Jam 500g,Grocery,24,45,5,2313,0,0,5,2313
14466,9466,1007,12466,2036,Stale Product,30:03.4,100,Processed,Lays Classic Salted 52g,Snacks,22,36,7,2930,0,0,7,2930
11780,6780,1027,9780,2007,Damaged Item,08:03.4,198,Processed,Real Mixed Fruit Juice 1L,Beverages,21,7,5,1545,0,0,5,1545
16106,11106,1020,14106,2000,Damaged Item,06:03.4,480,Processed,Cadbury Dairy Milk Silk 150g,Snacks,21,0,5,4235,0,0,5,4235
10359,5359,1049,8359,2058,Stale Product,11:03.4,960,Processed,Gillette Shaving Foam 200ml,Personal Care,21,58,5,2517,0,0,5,2517
12193,7193,1002,10193,2097,Damaged Item,36:03.4,80,Processed,Mother Dairy Curd 400g,Dairy,17,97,7,3164,0,0,7,3164
14179,9179,1024,12179,2019,Stale Product,16:03.4,225,Processed,Bournvita 500g,Beverages,29,19,9,3970,0,0,9,3970
12727,7727,1018,10727,2060,Damaged Item,11:03.4,950,Processed,Surf Excel Matic 1kg,Grocery,24,60,7,2869,0,0,7,2869
10756,5756,1013,8756,2096,Stale Product,53:03.4,630,Processed,Kellogg's Corn Flakes 500g,Grocery,21,96,10,5020,0,0,10,5020
16767,11767,1039,14767,2089,Damaged Item,49:03.4,440,Processed,Eveready AA Batteries (4 pcs),Electronics,20,89,4,1540,0,0,4,1540
12532,7532,1027,10532,2086,Damaged Item,55:03.4,198,Processed,Real Mixed Fruit Juice 1L,Beverages,21,86,6,1710,0,0,6,1710
12150,7150,1018,10150,2089,Stale Product,38:03.4,380,Processed,Surf Excel Matic 1kg,Grocery,24,89,4,1540,0,0,4,1540
10252,5252,1024,8252,2047,Stale Product,47:03.4,225,Processed,Bournvita 500g,Beverages,29,47,5,1740,0,0,5,1740
17735,12735,1005,15735,2040,Damaged Item,33:03.4,180,Processed,India Gate Basmati Rice 1kg,Grocery,18,40,4,900,0,0,4,900
13765,8765,1006,11765,2033,Stale Product,56:03.4,14,Processed,Maggi Noodles 70g,Snacks,21,33,5,1223,0,0,5,1223
15480,10480,1007,13480,2037,Stale Product,11:03.4,40,Processed,Lays Classic Salted 52g,Snacks,22,37,7,1860,0,0,7,1860
16077,11077,1005,14077,2032,Damaged Item,59:03.4,180,Processed,India Gate Basmati Rice 1kg,Grocery,18,32,3,1760,0,0,3,1760
15912,10912,1011,13912,2065,Stale Product,58:03.4,60,Processed,Bananas (12 pcs),Fruits,19,65,6,1116,0,0,6,1116
12749,7749,1041,10749,2050,Damaged Item,49:03.4,825,Processed,Nestle Everyday Milk Powder 500g,Dairy,21,50,4,1910,0,0,4,1910
13785,8785,1044,11785,2071,Stale Product,32:03.4,680,Processed,Brooke Bond Red Label 500g,Beverages,18,71,5,2285,0,0,5,2285
8505,3505,1000,6505,2091,Stale Product,13:03.4,288,Processed,Amul Taaza Milk 1L,Dairy,29,91,9,2593,0,0,9,2593
16016,11016,1033,14016,2064,Stale Product,20:03.4,85,Processed,Oreo Chocolate Biscuits 300g,Snacks,20,64,8,2990,0,0,8,2990
17342,12342,1018,15342,2062,Stale Product,31:03.4,760,Processed,Surf Excel Matic 1kg,Grocery,24,62,3,1080,0,0,3,1080
12335,7335,1015,10335,2066,Stale Product,54:03.4,575,Processed,Colgate Toothpaste 200g,Personal Care,22,66,7,3908,0,0,7,3908
17969,12969,1048,15969,2092,Damaged Item,48:03.4,330,Processed,Real Orange Juice 1L,Beverages,17,92,6,3391,0,0,6,3391
16377,11377,1050,14377,2018,Damaged Item,15:03.4,396,Processed,Dabur Red Toothpaste 200g,Personal Care,12,18,9,4243,0,0,9,4243
8986,3986,1030,6986,2099,Damaged Item,23:03.4,700,Processed,Johnson's Baby Powder 400g,Personal Care,22,99,1,950,0,0,1,950
9754,4754,1022,7754,2066,Damaged Item,35:03.4,320,Processed,Fortune Sunflower Oil 1L,Grocery,20,66,7,3908,0,0,7,3908
9251,4251,1048,7251,2019,Stale Product,39:03.4,110,Processed,Real Orange Juice 1L,Beverages,17,19,9,3970,0,0,9,3970
16461,11461,1046,14461,2047,Stale Product,08:03.4,450,Processed,Sprite 2L,Beverages,21,47,5,1740,0,0,5,1740
9457,4457,1045,7457,2048,Damaged Item,20:03.4,80,Processed,Parle-G Biscuits 800g,Snacks,17,48,6,3149,0,0,6,3149
12153,7153,1024,10153,2073,Damaged Item,29:03.4,900,Processed,Bournvita 500g,Beverages,29,73,7,2970,0,0,7,2970
17892,12892,1034,15892,2074,Damaged Item,13:03.4,840,Processed,Lizol Floor Cleaner 1L,Grocery,23,74,6,1628,0,0,6,1628
9151,4151,1043,7151,2063,Damaged Item,51:03.4,700,Processed,Good Day Butter Cookies 600g,Snacks,18,63,6,1962,0,0,6,1962
14611,9611,1011,12611,2087,Stale Product,50:03.4,60,Processed,Bananas (12 pcs),Fruits,19,87,6,1715,0,0,6,1715
14988,9988,1016,12988,2065,Damaged Item,40:03.4,450,Processed,Nescafe Classic Coffee 100g,Beverages,21,65,6,1116,0,0,6,1116
13280,8280,1003,11280,2016,Stale Product,00:03.4,510,Processed,Aashirvaad Atta 5kg,Grocery,18,16,10,5503,0,0,10,5503
10171,5171,1015,8171,2045,Damaged Item,57:03.4,345,Processed,Colgate Toothpaste 200g,Personal Care,22,45,5,2313,0,0,5,2313
17071,12071,1035,15071,2085,Stale Product,01:03.4,90,Processed,Sprite 2L,Beverages,16,85,7,4247,0,0,7,4247
10226,5226,1020,8226,2041,Stale Product,51:03.4,320,Processed,Cadbury Dairy Milk Silk 150g,Snacks,21,41,4,1299,0,0,4,1299
15029,10029,1040,13029,2040,Damaged Item,59:03.4,160,Processed,Sensodyne Toothpaste 100g,Personal Care,23,40,4,900,0,0,4,900
14136,9136,1007,12136,2073,Stale Product,15:03.4,60,Processed,Lays Classic Salted 52g,Snacks,22,73,7,2970,0,0,7,2970
13975,8975,1046,11975,2021,Stale Product,07:03.4,270,Processed,Sprite 2L,Beverages,21,21,6,1647,0,0,6,1647
13287,8287,1014,11287,2083,Stale Product,01:03.4,290,Processed,Dettol Handwash 750ml,Personal Care,13,83,6,1740,0,0,6,1740
15593,10593,1047,13593,2048,Stale Product,02:03.4,770,Processed,Head & Shoulders Shampoo 650ml,Personal Care,15,48,6,3149,0,0,6,3149
8573,3573,1041,6573,2018,Stale Product,12:03.4,275,Processed,Nestle Everyday Milk Powder 500g,Dairy,21,18,9,4243,0,0,9,4243
16973,11973,1006,14973,2069,Damaged Item,06:03.4,28,Processed,Maggi Noodles 70g,Snacks,21,69,4,2970,0,0,4,2970
13920,8920,1004,11920,2017,Damaged Item,00:03.4,112,Processed,Tata Salt 1kg,Grocery,19,17,1,200,0,0,1,200
10030,5030,1029,8030,2025,Damaged Item,51:03.4,1540,Processed,Horlicks Classic Malt 1kg,Beverages,20,25,2,2020,0,0,2,2020
11689,6689,1023,9689,2080,Stale Product,04:03.4,540,Processed,Haldiram's Bhujia 400g,Snacks,23,80,6,1450,0,0,6,1450
14088,9088,1042,12088,2008,Stale Product,43:03.4,360,Processed,Kissan Mixed Fruit Jam 500g,Grocery,24,8,8,4080,0,0,8,4080
10065,5065,1000,8065,2001,Damaged Item,45:03.4,216,Processed,Amul Taaza Milk 1L,Dairy,29,1,3,1461,0,0,3,1461
12143,7143,1049,10143,2029,Damaged Item,44:03.4,960,Processed,Gillette Shaving Foam 200ml,Personal Care,21,29,9,4345,0,0,9,4345
8558,3558,1000,6558,2014,Damaged Item,04:03.4,72,Processed,Amul Taaza Milk 1L,Dairy,29,14,4,1800,0,0,4,1800
9458,4458,1045,7458,2074,Stale Product,22:03.4,400,Processed,Parle-G Biscuits 800g,Snacks,17,74,6,1628,0,0,6,1628
14530,9530,1032,12530,2051,Stale Product,39:03.4,320,Processed,Whisper Ultra Pads (30 pcs),Personal Care,22,51,5,1625,0,0,5,1625
17612,12612,1002,15612,2064,Stale Product,36:03.4,160,Processed,Mother Dairy Curd 400g,Dairy,17,64,8,2990,0,0,8,2990
9713,4713,1030,7713,2095,Stale Product,14:03.4,875,Processed,Johnson's Baby Powder 400g,Personal Care,22,95,4,1995,0,0,4,1995
17476,12476,1027,15476,2021,Stale Product,17:03.4,396,Processed,Real Mixed Fruit Juice 1L,Beverages,21,21,6,1647,0,0,6,1647
10071,5071,1028,8071,2037,Stale Product,36:03.4,450,Processed,Catch Black Pepper 100g,Grocery,12,37,7,1860,0,0,7,1860
16713,11713,1029,14713,2013,Damaged Item,04:03.4,770,Processed,Horlicks Classic Malt 1kg,Beverages,20,13,9,6727,0,0,9,6727
14482,9482,1039,12482,2061,Damaged Item,33:03.4,110,Processed,Eveready AA Batteries (4 pcs),Electronics,20,61,7,4815,0,0,7,4815
10334,5334,1016,8334,2074,Stale Product,54:03.4,150,Processed,Nescafe Classic Coffee 100g,Beverages,21,74,6,1628,0,0,6,1628
16515,11515,1031,14515,2015,Damaged Item,58:03.4,260,Processed,Himalaya Face Wash 100ml,Personal Care,19,15,6,3065,0,0,6,3065
15309,10309,1012,13309,2013,Damaged Item,14:03.4,360,Processed,Saffola Gold Oil 1L,Grocery,17,13,9,6727,0,0,9,6727
16293,11293,1001,14293,2012,Damaged Item,09:03.4,520,Processed,Amul Butter 500g,Dairy,27,12,7,5165,0,0,7,5165
17913,12913,1045,15913,2027,Damaged Item,11:03.4,240,Processed,Parle-G Biscuits 800g,Snacks,17,27,4,1655,0,0,4,1655
8224,3224,1042,6224,2056,Damaged Item,10:03.4,360,Processed,Kissan Mixed Fruit Jam 500g,Grocery,24,56,7,3594,0,0,7,3594
13171,8171,1005,11171,2075,Stale Product,25:03.4,360,Processed,India Gate Basmati Rice 1kg,Grocery,18,75,4,833,0,0,4,833
15395,10395,1009,13395,2083,Stale Product,02:03.4,35,Processed,Farm Fresh Tomatoes 500g,Vegetables,26,83,6,1740,0,0,6,1740
15337,10337,1018,13337,2035,Stale Product,00:03.4,190,Processed,Surf Excel Matic 1kg,Grocery,24,35,3,1345,0,0,3,1345
8792,3792,1009,6792,2077,Stale Product,19:03.4,140,Processed,Farm Fresh Tomatoes 500g,Vegetables,26,77,6,3711,0,0,6,3711
13887,8887,1017,11887,2047,Damaged Item,09:03.4,720,Processed,Tata Tea Premium 500g,Beverages,12,47,5,1740,0,0,5,1740
17930,12930,1032,15930,2097,Damaged Item,41:03.4,1600,Processed,Whisper Ultra Pads (30 pcs),Personal Care,22,97,7,3164,0,0,7,3164
8442,3442,1015,6442,2048,Damaged Item,17:03.4,230,Processed,Colgate Toothpaste 200g,Personal Care,22,48,6,3149,0,0,6,3149
14998,9998,1034,12998,2037,Damaged Item,09:03.4,420,Processed,Lizol Floor Cleaner 1L,Grocery,23,37,7,1860,0,0,7,1860
12229,7229,1029,10229,2078,Damaged Item,10:03.4,1155,Processed,Horlicks Classic Malt 1kg,Beverages,20,78,3,490,0,0,3,490
10845,5845,1019,8845,2008,Stale Product,12:03.4,995,Processed,Dabur Honey 500g,Grocery,18,8,8,4080,0,0,8,4080
9010,4010,1007,7010,2064,Damaged Item,40:03.4,80,Processed,Lays Classic Salted 52g,Snacks,22,64,8,2990,0,0,8,2990
10101,5101,1040,8101,2009,Stale Product,48:03.4,320,Processed,Sensodyne Toothpaste 100g,Personal Care,23,9,5,2485,0,0,5,2485
12916,7916,1034,10916,2038,Stale Product,24:03.4,1050,Processed,Lizol Floor Cleaner 1L,Grocery,23,38,3,1595,0,0,3,1595
10003,5003,1033,8003,2079,Damaged Item,27:03.4,340,Processed,Oreo Chocolate Biscuits 300g,Snacks,20,79,3,2255,0,0,3,2255
8707,3707,1042,6707,2029,Damaged Item,21:03.4,900,Processed,Kissan Mixed Fruit Jam 500g,Grocery,24,29,9,4345,0,0,9,4345
9040,4040,1023,7040,2087,Damaged Item,36:03.4,540,Processed,Haldiram's Bhujia 400g,Snacks,23,87,6,1715,0,0,6,1715
17041,12041,1018,15041,2009,Stale Product,21:03.4,760,Processed,Surf Excel Matic 1kg,Grocery,24,9,5,2485,0,0,5,2485
17000,12000,1023,15000,2035,Damaged Item,00:03.4,270,Processed,Haldiram's Bhujia 400g,Snacks,23,35,3,1345,0,0,3,1345
12614,7614,1040,10614,2079,Stale Product,56:03.4,800,Processed,Sensodyne Toothpaste 100g,Personal Care,23,79,3,2255,0,0,3,2255
15748,10748,1031,13748,2020,Stale Product,15:03.4,390,Processed,Himalaya Face Wash 100ml,Personal Care,19,20,5,1194,0,0,5,1194
12508,7508,1001,10508,2007,Damaged Item,31:03.4,260,Processed,Amul Butter 500g,Dairy,27,7,5,1545,0,0,5,1545
